"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","Target"
33,88,39,59,63,100,0,65,28,43,40,0,100,42,25,47,'Normal'
69,97,0,90,24,45,81,3,0,0,46,45,100,89,20,100,'Normal'
35,88,30,57,50,17,11,0,0,38,56,68,100,100,20,100,'Normal'
66,86,0,94,21,52,80,14,14,0,42,39,100,78,49,100,'Normal'
78,67,65,100,0,75,56,37,84,0,2,10,35,52,100,86,'Normal'
0,98,5,73,70,39,100,0,43,9,53,50,84,90,26,100,'Normal'
28,61,59,27,33,0,2,20,63,46,100,79,48,100,0,74,'Normal'
34,71,16,65,17,23,0,0,1,42,44,75,100,100,46,91,'Normal'
56,80,5,100,10,65,87,33,71,0,0,22,58,59,100,97,'Normal'
45,72,18,100,0,64,64,33,98,0,7,5,26,41,100,68,'Normal'
100,94,40,100,0,68,43,35,92,5,23,0,3,34,46,68,'Normal'
63,65,35,100,1,69,61,36,79,0,0,15,33,54,100,86,'Normal'
49,100,19,91,31,54,36,15,0,0,7,36,51,63,100,87,'Normal'
60,90,26,82,49,39,35,0,0,23,56,54,100,90,37,100,'Normal'
40,100,7,84,72,47,100,5,22,0,52,45,84,90,0,94,'Normal'
81,82,0,95,19,62,84,29,45,0,24,33,83,68,100,100,'Normal'
59,99,16,72,89,38,91,0,28,18,73,58,100,100,0,95,'Normal'
3,92,12,64,60,28,18,0,0,32,67,55,100,91,33,100,'Normal'
44,68,58,44,100,7,0,0,7,36,78,68,93,100,11,74,'Normal'
54,63,100,76,80,100,43,75,51,35,47,0,0,16,27,46,'Normal'
88,78,34,100,0,73,45,38,78,0,21,11,50,49,100,82,'Normal'
4,11,46,53,76,100,24,98,41,53,100,24,57,0,0,15,'Normal'
100,100,31,89,36,55,70,22,23,0,0,28,43,58,86,89,'Normal'
100,90,27,100,0,66,56,33,81,0,10,16,33,57,98,84,'Normal'
53,93,3,71,47,34,23,0,0,29,59,63,100,100,9,98,'Normal'
60,59,98,26,48,0,25,19,77,49,100,85,43,100,0,70,'Normal'
54,64,30,96,15,61,69,27,52,0,0,30,48,66,100,100,'Normal'
81,69,63,100,0,82,41,41,81,0,19,3,41,44,100,74,'Normal'
89,92,20,100,11,67,43,34,54,0,0,24,34,56,100,82,'Normal'
77,87,87,57,100,19,13,0,28,35,83,69,94,100,0,79,'Normal'
0,53,84,42,100,6,10,0,2,34,66,66,86,100,5,84,'Normal'
44,89,62,48,61,0,0,6,35,47,100,72,81,100,14,84,'Normal'
39,73,76,100,22,79,50,43,69,6,0,0,26,30,100,52,'Normal'
87,100,31,76,100,91,38,80,22,62,0,0,73,9,33,64,'Normal'
29,95,93,67,84,100,10,68,0,18,74,0,100,44,17,44,'Normal'
100,100,9,95,0,52,98,26,48,0,46,45,98,90,18,71,'Normal'
57,53,100,85,62,100,51,61,79,24,29,0,0,30,61,56,'Normal'
0,31,52,59,46,100,11,81,65,52,100,17,38,0,9,26,'Normal'
88,99,9,100,0,54,55,12,4,0,24,40,100,73,63,94,'Normal'
72,100,5,97,53,52,93,6,0,0,11,43,100,77,58,99,'Normal'
100,94,53,80,68,39,68,0,0,0,17,36,62,69,88,100,'Normal'
44,87,21,78,68,41,70,0,0,13,45,47,100,80,41,100,'Normal'
83,95,0,86,56,49,100,13,17,0,48,40,99,79,37,100,'Normal'
63,66,58,100,11,76,36,38,63,0,0,3,36,36,100,62,'Normal'
70,61,65,100,15,70,72,34,87,0,0,10,23,50,100,76,'Normal'
42,98,0,69,54,36,71,0,14,16,54,54,100,91,39,100,'Normal'
4,100,23,65,89,36,100,0,20,8,32,49,79,85,0,89,'Normal'
84,92,41,91,37,46,66,0,0,9,46,49,100,85,33,100,'Normal'
100,100,37,89,43,57,69,26,33,0,0,19,35,48,83,73,'Normal'
65,60,100,100,5,100,19,57,65,15,0,0,13,43,97,75,'Normal'
19,93,9,74,100,94,25,100,1,49,0,0,93,16,46,60,'Normal'
62,100,100,98,77,61,45,28,39,0,79,25,50,57,0,72,'Normal'
68,89,0,100,38,59,98,23,80,0,39,35,100,69,75,92,'Normal'
0,63,61,38,67,0,20,14,56,50,100,85,50,100,2,71,'Normal'
70,92,0,83,57,49,100,13,16,0,5,37,48,74,64,100,'Normal'
50,90,0,89,62,47,88,0,5,4,42,51,100,95,11,100,'Normal'
23,57,70,39,100,0,40,1,51,43,89,83,60,100,0,75,'Normal'
90,66,49,100,0,72,67,40,100,0,25,11,34,55,84,93,'Normal'
46,79,37,60,59,22,0,0,19,35,78,64,100,97,29,100,'Normal'
51,60,47,100,16,68,75,35,83,0,0,2,31,39,100,68,'Normal'
46,92,45,62,38,22,0,0,9,39,57,70,100,100,27,98,'Normal'
51,78,0,68,47,34,100,0,19,7,63,43,85,82,9,100,'Normal'
81,85,10,79,42,38,56,0,0,21,45,62,100,100,29,82,'Normal'
100,94,29,84,32,41,59,0,0,1,42,38,87,74,52,100,'Normal'
12,14,56,48,100,84,53,100,32,65,80,30,62,0,0,17,'Normal'
26,100,21,65,91,32,66,0,38,25,91,61,100,99,0,98,'Normal'
55,92,17,78,55,38,50,0,0,21,56,55,100,92,25,100,'Normal'
67,99,62,62,97,13,0,0,7,34,100,59,100,100,10,93,'Normal'
32,98,8,71,56,25,28,0,0,42,77,69,100,100,15,92,'Normal'
42,85,85,100,100,68,76,32,45,0,50,1,38,40,0,65,'Normal'
0,66,48,100,100,83,69,41,37,0,81,26,76,69,8,93,'Normal'
56,76,73,52,93,13,0,0,37,35,100,69,100,100,17,76,'Normal'
86,62,64,100,0,80,40,44,92,12,29,0,41,37,100,65,'Normal'
65,93,68,73,92,23,13,0,0,38,87,65,100,100,5,98,'Normal'
18,74,3,67,74,34,41,0,3,27,59,63,100,100,0,95,'Normal'
66,98,22,67,100,88,17,100,11,52,0,0,79,13,22,53,'Normal'
41,100,0,70,76,37,100,0,10,5,41,43,97,79,27,91,'Normal'
64,100,100,92,94,56,72,22,72,0,91,31,52,59,0,80,'Normal'
100,83,64,100,50,65,75,26,35,0,0,22,46,53,100,78,'Normal'
12,76,27,98,45,48,28,0,0,14,54,56,100,100,30,96,'Normal'
61,90,67,61,99,100,9,71,17,56,0,0,100,25,17,61,'Normal'
62,87,41,63,100,100,22,72,8,41,30,0,93,42,0,34,'Normal'
67,99,0,95,29,61,100,36,87,0,43,21,70,60,83,100,'Normal'
0,88,65,55,100,16,45,0,43,40,90,77,68,100,8,69,'Normal'
88,88,53,78,100,40,91,0,0,1,5,39,57,76,18,100,'Normal'
22,100,66,50,100,94,45,95,5,41,58,0,78,42,0,46,'Normal'
36,53,100,82,55,100,2,69,36,34,74,0,0,14,62,44,'Normal'
73,78,10,73,60,35,43,0,0,25,57,62,100,100,20,96,'Normal'
67,100,18,81,44,39,35,0,0,28,53,57,100,88,42,94,'Normal'
76,97,64,62,100,15,14,0,0,35,90,59,98,100,0,98,'Normal'
55,77,3,100,39,57,100,16,0,0,26,38,97,77,23,78,'Normal'
67,66,56,100,10,74,59,38,70,0,0,15,29,54,100,82,'Normal'
75,75,36,100,6,68,62,35,100,0,0,6,31,41,93,74,'Normal'
5,55,79,87,5,100,38,53,67,6,0,0,27,47,100,84,'Normal'
88,59,100,100,16,85,42,45,82,8,0,0,32,40,89,77,'Normal'
59,82,11,67,100,65,54,100,40,48,0,22,60,0,43,52,'Normal'
100,84,55,99,4,72,49,33,43,0,0,28,41,69,97,100,'Normal'
0,26,57,56,98,94,31,100,45,63,100,31,78,0,9,16,'Normal'
32,100,17,75,87,41,64,0,12,20,79,55,100,96,0,96,'Normal'
37,100,0,60,94,94,3,89,29,54,0,0,100,28,8,38,'Normal'
0,71,52,100,100,75,53,37,13,0,82,7,34,44,16,83,'Normal'
60,100,14,67,100,55,80,98,39,56,0,13,80,0,50,45,'Normal'
57,87,0,100,17,63,100,28,94,0,20,34,89,71,37,87,'Normal'
37,90,4,97,35,57,100,22,49,0,0,33,54,72,35,100,'Normal'
27,100,0,74,60,43,100,3,34,0,29,44,74,81,10,58,'Normal'
35,97,35,61,44,19,0,0,23,38,61,68,100,99,51,100,'Normal'
46,84,65,46,65,9,0,0,30,29,84,57,100,94,44,100,'Normal'
35,86,56,65,100,27,23,0,6,28,65,64,98,100,0,85,'Normal'
98,98,34,96,8,59,63,27,34,0,0,32,42,70,100,100,'Normal'
100,100,21,86,45,47,86,11,3,0,0,33,65,65,99,96,'Normal'
48,97,7,76,22,35,0,0,5,31,49,65,100,95,52,100,'Normal'
61,95,39,68,100,100,45,76,0,45,10,0,90,36,21,50,'Normal'
25,46,100,31,80,0,0,9,38,45,89,78,54,100,20,68,'Normal'
32,90,0,64,66,29,79,0,12,26,60,67,100,100,16,79,'Normal'
48,94,0,76,53,39,47,0,3,14,70,46,100,88,28,100,'Normal'
41,84,93,52,100,12,33,0,47,39,93,74,72,100,0,81,'Normal'
0,20,57,51,94,89,38,100,44,61,100,30,76,0,12,14,'Normal'
78,79,40,100,6,71,16,33,16,0,0,32,46,58,100,80,'Normal'
35,100,0,88,58,44,55,0,30,39,100,73,94,97,28,84,'Normal'
75,91,30,100,24,60,53,21,11,0,0,37,44,70,100,93,'Normal'
66,93,50,56,80,100,0,55,17,35,59,0,100,52,0,29,'Normal'
59,100,9,86,61,44,74,0,0,1,53,39,100,82,35,88,'Normal'
70,99,42,69,35,30,0,0,19,29,60,58,100,88,54,100,'Normal'
100,89,41,100,23,69,54,35,38,0,0,11,25,47,60,81,'Normal'
66,91,22,73,50,27,19,0,0,33,65,60,100,96,24,100,'Normal'
63,62,67,100,5,79,52,41,73,0,0,2,32,42,100,75,'Normal'
67,86,59,66,95,26,44,0,0,30,59,63,100,98,19,100,'Normal'
39,83,17,65,37,26,17,0,0,36,44,70,100,100,32,93,'Normal'
77,100,28,80,63,41,59,0,0,10,47,44,100,75,61,94,'Normal'
44,75,21,38,0,0,18,28,56,60,100,90,82,100,28,81,'Normal'
100,100,39,84,58,51,88,20,25,0,0,24,42,54,98,81,'Normal'
0,85,19,63,86,31,94,0,3,15,39,50,100,83,29,100,'Normal'
0,76,49,100,100,82,58,41,28,0,82,15,28,51,34,88,'Normal'
54,85,94,100,96,61,79,22,84,0,100,32,53,52,0,58,'Normal'
35,100,0,80,45,41,96,3,44,0,34,38,100,67,78,93,'Normal'
69,79,48,57,69,19,0,0,30,34,93,63,100,100,37,76,'Normal'
100,100,22,97,23,62,94,33,69,0,0,18,25,59,78,95,'Normal'
22,93,0,70,69,37,100,0,15,20,51,60,77,94,42,100,'Normal'
16,78,66,100,100,75,46,39,0,0,66,4,24,45,23,85,'Normal'
55,65,100,87,61,100,53,66,71,29,40,0,0,21,39,47,'Normal'
27,100,43,66,67,31,45,0,0,27,47,59,100,91,20,97,'Normal'
30,63,61,100,100,82,76,39,42,0,74,9,53,49,0,63,'Normal'
73,100,0,91,49,63,100,31,58,0,16,28,45,69,30,98,'Normal'
19,74,75,62,78,23,3,0,28,38,94,72,100,100,0,80,'Normal'
100,86,47,100,0,73,42,43,85,15,28,0,37,36,84,66,'Normal'
59,72,36,100,0,72,23,36,52,0,0,1,44,27,100,55,'Normal'
35,90,24,61,100,100,12,84,0,29,49,0,96,57,7,28,'Normal'
20,70,39,100,100,88,67,44,30,1,64,0,22,41,0,85,'Normal'
52,98,69,67,78,28,13,0,0,26,54,58,100,93,54,100,'Normal'
60,90,43,68,52,22,21,0,0,39,52,66,100,95,38,100,'Normal'
60,81,12,100,0,70,28,34,28,0,12,33,52,64,100,91,'Normal'
7,60,100,79,76,100,24,71,80,36,84,0,0,14,47,50,'Normal'
83,85,17,98,37,57,94,19,38,0,0,38,65,71,100,100,'Normal'
44,90,0,79,79,43,95,0,13,10,50,55,100,98,19,100,'Normal'
12,75,3,59,67,25,20,0,27,36,95,68,100,100,0,95,'Normal'
62,100,0,57,94,71,34,93,26,47,13,0,100,37,8,39,'Normal'
15,92,0,96,38,47,79,0,4,8,46,58,100,100,12,86,'Normal'
100,100,21,86,64,41,71,0,13,23,73,66,74,100,0,70,'Normal'
81,76,15,100,0,65,100,33,65,0,10,28,90,64,73,94,'Normal'
100,90,60,100,36,66,54,29,34,0,0,19,37,48,79,74,'Normal'
100,51,72,100,0,88,28,42,77,0,2,11,5,55,78,82,'Normal'
0,56,76,49,100,11,31,0,45,39,95,73,71,100,11,74,'Normal'
58,100,0,85,51,50,79,11,14,0,44,39,100,71,51,83,'Normal'
100,63,71,100,10,85,24,43,56,4,0,0,26,38,88,55,'Normal'
0,30,46,60,59,100,21,81,67,50,100,16,38,0,7,28,'Normal'
23,83,74,49,100,13,19,0,24,35,82,66,73,100,0,84,'Normal'
64,89,66,58,74,8,0,0,20,41,92,64,100,100,24,95,'Normal'
56,86,39,69,100,34,59,0,0,17,53,54,95,94,22,100,'Normal'
69,89,6,100,10,64,35,26,10,0,0,36,47,64,100,91,'Normal'
50,83,26,62,58,100,14,60,2,30,50,0,100,51,0,34,'Normal'
0,95,21,65,86,30,54,0,14,25,68,62,100,100,0,90,'Normal'
85,90,10,65,100,69,34,100,53,41,0,0,92,5,35,48,'Normal'
